stage,stage_range,window,chapters,hook_crisis,hook_reversal,hook_question,hook_reward,hook_open,top_terms,sample_hook_1,sample_hook_2,sample_hook_3
Entry Contract & First Lever,CH0001-CH0040,early,CH0001-CH0020,10,7,1,0,2,起来 大哥 胜哥 只是 秘籍 没说话 没事 路胜笑了笑 路胜一愣 了下 很快 大公子,CH0018:和两个通力境的交手，他其实也受了伤。 林双火和林洪水都是天生神力，加上泼风刀法也是增强力道的，这就导致两人的刀势极重。 在最后那一下硬碰硬。 路胜右臂的肌肉也被震伤，后脚跟隐隐作疼，应该是高强度的爆发让脚筋也伤到了。 还有双肩因为短时间内连续爆发，全力使刀，加上最后一下硬撞，此时也传来阵阵痛楚，不知道是不是骨头伤到了。,CH0019:的！这次绝对是真的！” 路全安不理她，而是看向一边刚刚进来的大夫。 “小胜的伤势如何？” 这大夫其实也是路家的远亲，只不过是分工不同而已。路府发达后，便将他们都召集起来。 “还好，只是一些皮外伤。将养个十天半个月就能好。” 大夫赶紧回答。 “那就好，到时候再问问他还去不去沿山城学武。” 路全安想到这个，心里也有些烦躁。,CH0020:里来回走了几步。 他的伤势早就好得差不多了。只是一直在苦练黑煞功，等待气感。 只要有一丝气感，他就打算迅速提升内功，务必要让黑煞功真正形成自己实力的一部分。 就在这时，路全安匆匆忙忙带着两个家丁进入院子。 “胜儿，修养差不多了，今日就启程吧？” 路全安面色温和平静，手里提着一个黑色绸缎包裹。显然是为路胜准备的路上盘缠。
Entry Contract & First Lever,CH0001-CH0040,mid,CH0020-CH0039,7,5,6,1,1,大公子 起来 路胜笑了笑 小胜 胜公子 很快 道长 可惜 轻轻 胜哥 好吧 深蓝,CH0037:热热闹闹喝酒说笑，再带几句自以为风流文采的打油诗，气氛倒是热烈。 路胜被安排和陈芸熙坐在一起，另外一起来的还有两个女孩，一个挨着宋振国，一个挨着另一个面色清冷的学院学生。看起来都是成双成对。 嘭！ 硕大的金色烟花，在寻阳楼外骤然炸开，于夜幕中化为一朵巨大牡丹。 “开始了！开始了！！”众人纷纷欢呼起来，起身涌到楼边观赏。,CH0038:晃晃的小灯笼，淡淡的红光从灯笼里映照出来，这红火的颜色，在这深夜越发显得清冷。 “有人吗？”路胜一眼望去，居然整个楼船里都看不到一个人。 “我记得刚才来时，这里没这么多红灯笼……”他双目微微眯起，心中有些发紧。 楼船上三层，每层五个房间，一共十五个房间，个个门口都挂了红灯笼。淡淡的红光将整个楼船内都染成红色，一片寂静。,CH0039:是像上次水鬼留下的那种鹅卵石再多点，或许我还能推演其他黑煞功等更高级的功法。” 感受了下新的内功，似乎随着爆发力的增强，玉鹤功原本的自愈能力也得到了丝丝强化。 “这已经不算事玉鹤功了，既然是融合了黑虎刀法劲力技巧，以后，就叫黑虎玉鹤功算了。” 他心中这么想着，顿时修改器上玉鹤功显示的名字，也缓缓变成了黑虎玉鹤功五个字。
Local Power Build & First Ladder,CH0041-CH0120,early,CH0041-CH0060,11,7,0,0,2,是啊 起来 了下 路胜眯了眯眼 过来 三层 地方 灯笼 路兄 画舫 说起来 宋振国一愣,CH0058:渐看到不同角度的庄子内庭景象。 破败的枯树。 满是白灰的窗户。 随风摇动的白灯笼。 布满划痕的房屋柱子。 还有……石桥上站着的一个书生。披头散发，正双眼直瞪瞪盯着经过马车的灰衣书生。 路胜双目一下睁大，以他的目力，能够清楚的看到，那书生面无表情，双眼里满是血丝，脸色惨白，站在那里若不是眼睛睁着，都能让人以为他是个死人。,CH0059:多出一道红印，但没破皮。 “这才一门硬功，就有这么大效果，这刀可是我才换的新货。”路胜心中满意。“等这边事了，去宣武阁好好找找，或许能找到不少对我有用的免费武学。”他心中对赤鲸帮的宣武阁更加期待了。 抬起头，路胜再度朝着那庄子方向看去，他隐隐能感觉到，那庄子里面似乎隐藏了什么东西。 他决定在这里常驻几天，仔细调查清楚。,CH0060:卖了个精光。剩下的都是破旧不堪，连收货的人都嫌弃难搬的东西。 望着小女孩跑出去的身影，路胜看了看破败的庭院，阴森的环境。 “难为这小家伙了。” “没想到这真有人住啊。”段蒙安感觉有些紧张。 “这庄子有人住很奇怪么？”另一人叫宁三，是路胜挑选来专门走这一趟的好手。 他们假借路人身份，便是打算来仔细调查这个庄子的内部情况。
Local Power Build & First Ladder,CH0041-CH0120,mid,CH0080-CH0099,14,4,2,0,0,特效 下来 赤极心法 路胜点头 没事 外首 起来 血网 路胜想了想 当真 深蓝 强化火毒,CH0097:西，我才用扇的，没想到扇了三次你才动不了。” “你……到底是什么人！？”卓文宇咬牙切齿道。她不相信普通人会有能力将她从妖灵附体状态下打散出来。 “我就是个普通人，你倒是说说看你是什么人？这个什么灵妖附体是个什么玩意。”路胜第一次见到卓文宇这样的异类，感觉很有兴趣。 “你不知道我们？”卓文宇顿时一怔，满面带血不可思议道。,CH0098:念。 “是。” 对话框眨眼消失。 确定推演后，那种奇妙的感觉又出现了，路胜能够明显感觉到，在修改器里的所有方框中的武学，都可以进行推演融合。 他第一时间看向赤极心法。 “赤极心法：第七层。特效：血网。强化火毒，六重震荡，强化引燃。”后面果然多了一个可以推演的按钮。 深吸一口气，路胜满怀期待，意念在那个按钮上轻轻按下去。,CH0099:头醉死在酒坊。却没想到，遇到了之前一面之缘的路胜。 而更让他想不到的是，这个才和自己见过一次面的陌生人，居然丝毫没有送自己报官的意思，要知道他现在身体亏空，虚弱无比，又醉得浑身无力，若是真要报官，现在便是最好时机，抓起他直接去衙门就行，那里还贴着通缉他的海报公示。 可路胜居然没这么做，而是说有什么能帮得上忙的，尽管提。
Faction Pressure & Rule Exposure,CH0121-CH0220,early,CH0121-CH0140,14,2,1,3,0,起来 路兄 不错 大人 下来 刹那间 内气 特效 过来 路胜一愣 另外 轰隆,CH0138:和温暖，没有任何不适。 “算了，接下来好好养伤。先暂时不动，等伤势痊愈后，再用剩下的部分阴气提升，看来阳气过重的弊端硬功得到缓解了。之后只要一直同步提高阴阳玉鹤宝瓶气就行。”他暂时不去多想，先恢复伤势要紧。他可不相信，无忧府死了这么多主力，会一点动静也没。 想必很快便会有人发现他在晚上前往东山山脚的动作，派人前来问询。,CH0139:绝对不能露怯，一旦被发现他重伤不能动手，那时候面临的麻烦更大！ 他环顾四周，在这里动手，以对方的性子，怕是要大开杀戒，到时候整个赤鲸帮都可能彻底毁于一旦。他现在的实力可挡不住此人。 “此事，我确实不知道，不过此地不是说话的地方，你我换个地儿细说。”路胜低沉道，黑老一进门只伤不杀，显然还没打算彻底和上阳家翻脸。 “好。”,CH0140:阳九礼一见此物，顿时双目一亮。赶紧一把从路胜手里抢过来。 “不错不错，你做得很好！以后再有这等物事，一定要第一时间记得上交！” “大人喜欢就好！”路胜微笑道。“无忧府那边……” “我突破在即，区区一个无忧府，给他们十个胆子动手，他们敢吗？”上阳九礼随意摆摆手。一副完全不顾上阳家大局的神色。 不过路胜就喜欢这种不顾大局。
Faction Pressure & Rule Exposure,CH0121-CH0220,mid,CH0170-CH0189,11,4,5,0,0,姐姐 樱樱 起来 对了 很快 好了 力量 路帮主 一动不动 阴阳玉鹤宝瓶 路胜一愣 果然,CH0187:里也不时闪过一丝恐惧。 颜开没和他争，他看得出，这个师兄是曾经被朝龙吓破胆了。但他见过路胜，知道此人如巨枭，行事肆无忌惮，极其直接残暴。加上此处也在北地境内，在这里要是惹得这位路大帮主不高兴，那结果不言而喻。 真要这两位对上，他不觉得路胜会输。 “不管怎么说，这两位都是我们惹不起的大人物，不要去招惹就是。”颜开低声道。,CH0188:笑话，把他逗笑了，才算过关，不然就见不到第二天的太阳。” 路胜摇头笑了，左右看了看。 “你们信吗？还有这种传说？” 宁三倒是认真考虑了下。 “属下认为，极可能是真的。这不笑主人既然传出了这样的规矩和名声，那就意味着，必然有人从他手下活下来过，所以才有这传闻传出来。” “有道理。”路胜点头。 周围其余人也都纷纷点头赞同。,CH0189:身子发抖，浑身发冷，那是纯粹的胆子小。靠两人是靠不住的了，还得他亲自来。 看得出路胜还是对待他很温和，还算念旧情，那么此事就有转机。 “其实不瞒胜公子，我们是跟着一个从外地来此的危险人物，来到此地。”颜开正色道。“在下师兄万和子，接了一份调查这人的悬赏，一路从东面跟来，却没想到他们也是为了这不笑传说，特地赶到这小镇。”
Arena Shift / Selection Track,CH0221-CH0360,early,CH0221-CH0240,9,7,1,3,0,学派 路兄 好吧 路胜点头 秘术 时间 师弟 算了 起来 下来 师兄 异穴宗,CH0238:么，刚突破就打算一挑我们全部？！！”一个腰间绑着一圈飞刀的高瘦男子，站起身冷冷道。 “你们一起上也行，可以省我不少时间。”那白发女子淡淡道。 “狂妄！” “孔雀山这是要和所有下三重学派为敌？” “舒师姐是否太狂了？” 一个个学派首席纷纷忍不住变色起身。 在场都是五大分区走出来的顶尖高手，数十人聚在一起，声势也颇为浩大。,CH0239:…或许是元魔宗分到的分区学派都比较弱吧……” “这个倒是，我知道的出了名弱的冰幽谷就和他们一个区。”陈云香点头道。 她和舒纤一个分区，第一时间就被那女人全部刷下来，毫无侥幸。 “估计是其他分区都被最强者打残了，他们刚好避开捡漏了吧？”展红声酸溜溜道。 “或许……开始了，路兄要动手了，他似乎是去的孔雀山。”展孔宁低声道。,CH0240:过。”展孔宁建议道。 方谭也和展红声姗姗来迟，听到这话，也挑了挑眉。 “我无所谓，多几个人没影响。” 路胜看了眼此人。“不用了，我们自行安排就好。”他有自己的打算，自然不会贸然改变。 “你是不是觉得，舒纤碍于会盟百脉的规矩，就算针对你们，也不会有多严重。”方谭笑了笑，“天真……” 路胜眯了眯眼，感觉这方谭对他有些不善。
Arena Shift / Selection Track,CH0221-CH0360,mid,CH0290-CH0309,15,2,1,2,0,那么 轰隆 这里 路胜平静道 元魔宗 终于 就在这时 神威 一切 炸开 的地步 不好,CH0307:支援不到，局势恶劣之下，才爆发了他之前才看到的历史上恐怖惨案：魔渊末影。 诸多魔灵联手，开启魔渊，放出无量魔气，污染一切。导致大宋八成以上的国土灭绝，所有生灵被污染，沦为魔物。上千万生灵的灵魂痛苦扭曲，又进一步牵引了那个世界大门的开启……最终导致那一位恐怖存在的降临。 这一切的一切，其实源头只是这次的万妖宫之行而决定。,CH0308:灭之门。魔界之门通往魔界，痛苦之门通往一个充满痛苦之地，传说那里没有快乐，没有一切正面情绪。能够感受到的，只有痛苦。而最后的毁灭之门，我也不清楚。只是看过记载，大概知道那是打开就会释放毁灭的地方。那里有着一切的禁忌，传说当世间的某种物质，某种东西积累到一定程度时，就会有神秘存在觉醒，打开毁灭之门，净化一切，重塑一切。”,CH0309: 路胜一愣。 “我想……不……” “不久之后。”安沙打断他道，“不久之后，我们还会再见。”她真诚的露出一个纯净完美的笑容。 路胜从未见过有人能笑得那么纯粹。看到笑容的瞬间，他仿佛置身于满是阳光的向日葵花海。 温暖，和熙，让人忍不住想要上前一把将其拥住。 没有再多说，路胜转身一步跨出，转眼便消失在原地，消失在地道拐弯处。
System Expansion & New Map,CH0361-CH0520,early,CH0361-CH0380,14,4,1,1,0,路胜点头 路师兄 起来 很快 不错 另外 过来 身上 兴趣 路胜笑了笑 不只是他 特效,CH0378:。 孙荣极却是随手丢了个小玉佩给路胜。用来两人之间相互联系，上边刻着短距离的传讯阵法。 三人经过这一役，相互之间已经隐隐有了小团体的意思。 这也是九威洞主愿意看到的一幕。这死人脸难得的对路胜和长孙蓝露出一丝笑容，转身也带着缚灵宗的人离去。 至于路胜之前让缚灵宗的弟子出局，那和他本人无关，被敲竹杠的是其他长老殿主的后辈。,CH0379:量，对我而言毫无意义。研究了这么多年，大阴不也还是对其一筹莫展，只得将其列为邪兵榜第三。”苏狞扉冷淡道，“与其如此，还不如将他丢出去试验一番，正巧有这么合适的人选。我正想看看这刀真正发挥全力，到底能达到什么程度。你放心，真要出了什么乱子，邪兵暴虐，无论人界还是魔界，都不会有谁敢容他存于世间。” 老者长叹一声，没再说话。,CH0380:样。如果说苏狞扉大多数时间是冷漠，那么这女子便是胆怯娇弱。 “失陪一下，刚好见到个故人。”路胜打断孙荣极的滔滔不绝，面上露出一丝笑容道。 …… “抱歉，我有事先走开一阵。”幽铟宗队伍内，一个面色冷淡的银发女子不礼貌的打断面前男子的滔滔不绝。 “哪里哪里，鹤师姐请便，请便。” 司马鹤淡淡点头，转身紧随着白裙女孩走出大厅。
System Expansion & New Map,CH0361-CH0520,mid,CH0440-CH0459,9,6,1,3,1,路胜笑了笑 灵力 好了 很快 没关系 起来 别飞鹤 东西 没事 路胜点头 师傅 路重,CH0457:，可实际上却是能一直不断攀升质变的强大能量。” 路胜视线落在了灵力法方框后面的推演按钮上。那代表寄神力可以推演这个法决，也代表他现有掌握的所有体系中，有能对灵力有助益的方法方式。 “好了……就让我看看，具砚到底想要隐藏这个世界什么样的真相……龙级之后的灵力，有什么秘密。”路胜心头泛起一丝期待。意识精准的点在推演按钮上。,CH0458:跃着想要沟通外界某处的特殊力量。 路胜有种感觉，一旦自己放开神魂精神压制，这颗种子或许就会带着他沟通另一处空间。 处于顾虑和其他想法下，眼下对于路胜而言不是最好的时机。他打算彻底解决幽宅之事后，再着手处理这个。 紧跟着前面的别飞鹤一起，路胜很快来到了这两层石屋大门前。先他一步的别飞鹤已经进去了，现在还没什么声响传出来。,CH0459:回事，便被人揪住头发，狠狠往地面一砸。 轰！ 幽宅二楼的地板被砸穿，一楼的石头地面被砸出一个一米多深的大坑。一时间碎石砂砾和灰尘到处飘飞。 黑绳满头是血，倒在地上浑身抽搐。动弹不得。 路胜松开他的头发，任由他脑袋重重砸在地上。 “好弱……” 他抬头没有在理会黑绳，而是看向缓缓从二楼跳下的另一道黑影。 “你好像还不错。”
Midgame Consolidation & New Economics,CH0521-CH0700,early,CH0521-CH0540,13,3,1,3,0,起来 阿桑 邪灵 很快 好了 咔嚓 路胜点头 那是 问题 力量 黑骨 这里,CH0538:飞射入那小臂长短的灰色裂缝。 哧！ 他刚刚钻去其中，马上裂缝瞬间合拢关闭。阵法依旧亮着暗红光晕，只是比起之前暗淡了许多。 整个大殿周围墙面上浮现出大量神秘纹路，一层足以抵抗圣主攻击的恐怖波动，缓缓从四面墙壁上释放出来。 这是路胜临走前，提前将自己的部分源力储存进一套神兵中，分别嵌入四面墙壁，以起到模拟他还在闭关的假象。,CH0539:……看来这玄水神纹也是有某种我不清楚的玄妙在内。” 路胜心头闪过一丝兴趣，但眼前不是关心这些的时候，而是先提升精元术。 他看了眼剩余的寄神力。现在深蓝已经随着他的感知进化除了精确计算寄神力单位的功能。 上边标记着还剩，九万七千三百零六单位。 “这个世界再搜刮下，看能不能找点寄神力补充。这点完全不够用……”路胜心头一叹。,CH0540: “有趣，我晋升到神婴后期自动得到了玄水神纹，而在这里又一开始就得到了冰寒神纹。这种神纹看起来，既容易得到，又不容易。” 阴暗潮湿的密林里，路胜眯了眯眼，猛地挥爪砍断一条扑向自己的树蛇。 然后在黄金的惊愕眼神下，将蛇递给它，做了个吃的动作。 黄金高高兴兴的接过蛇肉开始大快朵颐。避开毒牙和毒囊，蛇肉还是十分鲜美的好东西。
Midgame Consolidation & New Economics,CH0521-CH0700,mid,CH0610-CH0629,13,3,2,2,0,很快 路胜点头 好了 另外 问题 的话 多流派综合格 下来 口气 力量 这里 路胜皱了皱眉,CH0627:个同样是红发的漂亮男孩，正一手提着什么东西，笑吟吟的看着自己。 等看清对方手里提着的东西，徐真真眼中瞳孔猛地收缩。 路胜在拐角处等了很久，一条十来米的小巷他足足走了三回。 可惜身后的气息激荡了一阵后，又迅速熄灭。 被人截了。 他神魂一扫，便明白后面发生了什么，有人把暗杀者截胡了。原本他打算试试所谓的格纱有多强，可惜……,CH0628:？黄泉魔女？”路胜一愣，只有一个组织倒是出乎他预料。 “黄泉魔女的资料，这里有很多，您需要么？”安第斯在接受了心理引导术的引导后，对路胜可谓是知无不言言无不尽。 “可以，你传到我手机上吧。”路胜肯定回答。 他背靠着屋顶栏杆，神魂散开，监控着周围一切生命体。以免防止电话遭到泄露。 很快，一份邮件通过电子邮箱传到他手机里。,CH0629:身一拳！ 巨大的拳压挤压空气，形成巨型空气波，狠狠轰在飞来的黑色流星火焰上。 轰！！ 一团灿烂的黑红光晕当场炸开。流星宛如气流一般炸开，瞬间化为无数流光飞散四射。 回过身，路胜赶紧伸出手。 “来，看我的手……” “恩……在晃……”第七首呆呆的看着路胜，一脸的呆滞，震撼，木然。 “……”路胜呆了下，心理引导术居然无效了？
Mythic Scale / Authority Elevation,CH0701-CH0930,early,CH0701-CH0720,13,2,2,3,0,起来 好了 很快 是的 问题 那么 龙火术 主人 过来 怎么样 算了 当然,CH0718:朝着曙光城要塞冲击，试图冲过要塞，前往腹地掠夺食物和资源。 所以曙光城也是这个国家最北面最坚实的防线。 路胜看中的就是这把半神器——曙光之剑。 曙光之剑作为历史悠久的古老半神器，曾经在多次的人兽大战中发挥重要作用。 而为了增加晨曦之神的影响力，传播晨曦教义，在动用半神器之前，教会都会带着曙光之剑在曙光城内展览一段时间。,CH0719:胆子小，天生经不住吓啊……” 这一掌下去，在场所有人，除了路红叶都要死。 三千六百多级的高阶法师之手足够把整个曙光城压成小饼饼，再在地面砸出一个上千米深的坑。 要是那小子再说晚一点，曙光城就可以从头再来了。重现数千年前大建要塞的盛景。 “还是看看半神器吧。”路胜收回凝聚在手上的奥术能量，身体漂浮起来，朝着曙光之剑靠近。,CH0720:！我是黑暗之神的死敌！毁灭和吞噬黑暗就是我的使命！” 艾尼菲尔斯疯狂的咆哮着。 但遗憾的是，他的力量对于路胜而言毫无意义。 他作为神孽，什么都不怕，只怕蛮力。 刚好遇到的路胜，则是能够把全部力量一股脑全部转化为蛮力的人。 再加上路胜本身就是七彩龙，再怎么样纯粹力量也比一般人类强太多了。 这么一来，艾尼完全被吃得死死的。
Mythic Scale / Authority Elevation,CH0701-CH0930,mid,CH0815-CH0834,12,4,2,1,1,好了 那么 法典 协调之风 很快 东西 起来 杰克 这里 是啊 算了 不错,CH0832:器官的稚嫩新生。 路胜没理会这些，一直到课程结束，彻底放学，他才收拾好教材和课本，起身准备离开。 走出教室门，安迪和两个陌生的男学员正站在外面，靠着围栏小声的说着什么。 敏锐的五感让路胜隐约听到他们说起什么紫火帮，失踪案，调查之类的关键词。 他能看得出，安迪的脸色很不好看，这才开学就明显遇到麻烦事，任谁的心情都不好过。,CH0833:到他这个层次，也差不多是极限了。这种魔物本身的能力极限，就是这个层次。最多之后还能进化一次，但法典只是锻炼法，锻炼完成并不一定能保证会质变进化。 不过路胜关心的重点，并不是这个，而是他本体的神魂，终于随着法典的修行，再度得到大幅度提升！ 虚冥的虚轮第三境界，居然悄无声息的被突破了……而这，仅仅是他来到这个学校的第一周。,CH0834:摇摇头，第一次在图书馆，他便感觉那男子一个人应该是有什么企图目的。 现在又看到这家伙，而且是明目张胆的准备对人动手。 “不过，这和我有什么关系？”路胜懒得多想，继续沿着路朝学校走去。 这些应该是学生会和校领导管的，他现在是个学生，他的天职和主要任务，就是好好学习。其他什么都不如学习重要。 路胜现在的信念前所未有的坚定。
Endgame Escalation & Closure,CH0931-CH1213,early,CH0931-CH0950,12,4,3,1,0,起来 那么 好了 之力 咕噜 妖神 轰隆 主人 东西 妖庭 放心吧 雀神火,CH0948:强度，这种提升，对于洪荒世界的妖族，或许极其微弱，但对于这个世界的人类而言，可以说是相当惊人了。 就算朱雀一族再怎么不擅肉身，再怎么不擅战斗，可那是相当于洪荒大堆变态而言。 在普通孱弱的人族中，朱雀神火对肉身的强化，简直犹如神迹。 短短半天时间就增幅了接近一倍。 路胜如今的全方位素质犹如开了挂一样飞快朝着人类极限冲去。,CH0949:对于正在强化身体的路胜来说，一顿饭连三成都达不到。 根本吃不饱。 所以他决定去弄点钱。 至于怎么弄钱，他在酒店周围再度找到了不少的无证借贷公司电话。正好可以救济他这种饭都快吃不起的中学生。 他依稀还记得这些公司的人人品一个个都很不错，借钱很少打折扣，豪爽，及时，热心。 这让他对其印象极佳。出门在外，靠的就是这种热心人。,CH0950:遍。 “叽里……咕噜，叽里……咕噜……” “&￥@#！%”张琪萱一脸呆滞，完全不明白对方啥意思。 店员面露蛋疼之色，伸手指了指边上的告示牌，然后举起手里的一个红色小瓶子。 “叽……！里……咕噜！叽里咕噜！” “……” 一群女孩面露呆滞之色，之前她们都是不管别人说什么，只要付账给钱，拿上东西就完事。 这种情况还是第一次。
Endgame Escalation & Closure,CH0931-CH1213,mid,CH1072-CH1091,11,5,2,1,1,起来 那么 帕雷恩 的人 对了 很快 路胜点头 卡菲莱迪尔 大人 丝线 另外 能师,CH1089: 他身上没有明显的属于哪边的标志，进入战场，似乎也只是为了为何和平，减少纷争。 就连有一次被偷袭，差点受重创，他都极其大度的放过了偷袭者，只是将其打伤便放走了事。 这样怪异的行为，渐渐让双方的人，都开始慢慢给他面子，一看到他来，便不再动手。 只是谁也不知道，这个名为周宁的人影，其形象已经不知不觉的深深种入了众人的脑海。,CH1090:围剿，还真是看得起我。安蒂，带着人撤吧。另外，启动B计划。” 安福蕾蒂微微一笑，手中不知道什么时候多出了一个黑紫色遥控器，轻轻按下中间的红色按钮。 呜…… 细微的震荡顷刻间从远处飞快传来。 轰！轰！轰！轰！！ 接连不断的巨大爆炸，在这片星系周围产生。 监狱星周边的其余监狱星，一颗颗，纷纷随着巨型爆炸四分五裂，彻底瓦解。,CH1091:一阵微微的僵局中。 而路胜也开始研究利用念能力，布置新的降临阵法，离开这个世界。 他打算观察一阵，如果形势稳定，就将以这个世界为主世界，将其余部下都牵引过来。 毕竟最关键的是，这里有着极多的寄神力，在没有彻底挖掘吸收完这里的寄神力之前，路胜对其他什么都没兴趣。 要不是要继续找到剩下的亲人，他都打算就在这地方安定下来了。
